,Chargers,Battery capacity,Wind CAPEX,PV CAPEX,Battery CAPEX,Chargers CAPEX,Total CAPEX,Wind OPEX,PV OPEX,Battery OPEX,Total OPEX,Charging sales,Consumption sales,Grid sales/cost,Yearly income,Yearly net icome,Payback period [PBY],Internal Rate of Return [IRR],Service coverage on yearly basis,Amount of passenger kilometers covered,E-mobility covered,Times earth circumnavigated by EVs,Underloaded hours,Underload percent of time,Total energy underload,Underload percentage of energy,Yearly grid import,Yearly grid export,Yearly curtailed energy,Curtailed percentage
0,1,1800.0,1680.0,720.0,504.00000000000006,65.0,2969.0,7.2,6.0,14.4,27.6,237.99720000000002,6.000000359999999,21.384844529517874,265.3820448895179,237.7820448895179,12.486224522879784,0.08008826031981067,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,0.0,855.393781180715,971.2694184181048,36.41556583043838
0,1,1900.0,1680.0,720.0,532.0,65.0,2997.0,7.2,6.0,15.2,28.4,237.99720000000002,6.000000359999999,21.384094529517874,265.3812948895179,236.9812948895179,12.646567744501604,0.0790728378009736,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,0.0,855.3637811807149,971.2694184181048,36.41556583043838
0,1,2000.0,1680.0,720.0,560.0,65.0,3025.0,7.2,6.0,16.0,29.2,237.99720000000002,6.000000359999999,21.383344529517874,265.38054488951786,236.18054488951788,12.807998226166575,0.07807621318661748,1.0,3.39996,283.33,84.83992514036183,0,0.0,0.0,-0.0,0.0,855.3337811807149,971.2694184181048,36.41556583043838
0,2,0.0,1680.0,720.0,0.0,130.0,2530.0,7.2,6.0,0.0,13.2,385.9632,6.000000359999999,-13.341076721697155,378.6221236383028,365.42212363830276,6.923499800204245,0.144435621991424,0.9742009132420091,5.513759999999999,459.4799999999999,137.58602620087333,226,2.5799086757990866,4.349373502258782,-0.3252219895179808,275.07156663695343,841.714764316881,767.5328831231116,28.776921935746635
0,2,100.0,1680.0,720.0,28.000000000000004,130.0,2558.0,7.2,6.0,0.8,14.0,385.9632,6.000000359999999,-7.7688332581395185,384.19436710186045,370.19436710186045,6.90988363768419,0.1447202373345819,0.9780821917808219,5.513759999999999,459.4799999999999,137.58602620087333,192,2.191780821917808,3.6018124190509986,-0.2693235244538078,221.84051960072952,798.4492676780668,756.8015580581804,28.374574999933184
0,2,200.0,1680.0,720.0,56.00000000000001,130.0,2586.0,7.2,6.0,1.6,14.8,385.9632,6.000000359999999,-4.034880599334476,387.9283197606655,373.1283197606655,6.930591603603634,0.144287826666924,0.9803652968036529,5.513759999999999,459.4799999999999,137.58602620087333,172,1.9634703196347032,3.3937012964390627,-0.25376213077227544,186.5412339985584,771.3109460194129,748.4024829920511,28.059670540691002
0,2,300.0,1680.0,720.0,84.00000000000001,130.0,2614.0,7.2,6.0,2.4,15.6,385.9632,6.000000359999999,-1.1591020362346354,390.80409832376534,375.2040983237653,6.966874860051148,0.1435363803839959,0.9820776255707763,5.513759999999999,459.4799999999999,137.58602620087333,157,1.7922374429223744,3.1444282317710193,-0.2351228757203735,159.70292526809888,752.150544891109,740.4453023252275,27.76133391966432
0,2,400.0,1680.0,720.0,112.00000000000001,130.0,2642.0,7.2,6.0,3.2,16.4,385.9632,6.000000359999999,1.270754375321001,393.23395473532094,376.83395473532096,7.0110454931156,0.14263207976355827,0.9851598173515982,5.513759999999999,459.4799999999999,137.58602620087333,130,1.4840182648401825,2.5964720686694656,-0.19414975776672405,137.40931257344673,737.8767378800735,731.847540478509,27.43898014574077
0,2,500.0,1680.0,720.0,140.0,130.0,2670.0,7.2,6.0,4.0,17.2,385.9632,6.000000359999999,3.3440204117057384,395.30722077170566,378.10722077170567,7.0614890521017,0.14161319130026429,0.9877853881278539,5.513759999999999,459.4799999999999,137.58602620087333,107,1.221461187214612,2.062721146393419,-0.1542388288112037,118.54695928679708,726.4956129022149,723.8025612474422,27.137351714701968
0,2,600.0,1680.0,720.0,168.00000000000003,130.0,2698.0,7.2,6.0,4.8,18.0,385.9632,6.000000359999999,5.122564436063885,397.0857647960638,379.0857647960638,7.117122958841356,0.1405062137865322,0.9900684931506849,5.513759999999999,459.4799999999999,137.58602620087333,87,0.9931506849315069,1.6157536553452077,-0.12081708275672778,102.22966740997596,716.0509144924353,717.4530002893525,26.89928918469841
0,2,700.0,1680.0,720.0,196.00000000000003,130.0,2726.0,7.2,6.0,5.6,18.8,385.9632,6.000000359999999,6.6933747857672365,398.6565751457672,379.8565751457672,7.176392823933395,0.13934577224716332,0.991324200913242,5.513759999999999,459.4799999999999,137.58602620087333,76,0.8675799086757991,1.381670342218438,-0.10331363294527515,87.91598058463337,707.3148943538563,711.6112502894621,26.68026588626856
0,2,800.0,1680.0,720.0,224.00000000000003,130.0,2754.0,7.2,6.0,6.4,19.6,385.9632,6.000000359999999,8.134538277112846,400.0977386371128,380.4977386371128,7.237887956612896,0.1381618513569763,0.9929223744292237,5.513759999999999,459.4799999999999,137.58602620087333,62,0.7077625570776256,1.1195510911317663,-0.08371381143417736,74.94183860113917,700.0907240902097,705.5691593185277,26.45373125300078
0,2,900.0,1680.0,720.0,252.00000000000003,130.0,2782.0,7.2,6.0,7.2,20.4,385.9632,6.000000359999999,9.413682969914332,401.3768833299143,380.9768833299143,7.302280326522786,0.1369435238425285,0.9942922374429224,5.513759999999999,459.4799999999999,137.58602620087333,50,0.5707762557077625,0.9403120116031891,-0.0703113087488177,63.50835400843386,694.0890888387427,699.9280708977611,26.242231309888886
0,2,1000.0,1680.0,720.0,280.0,130.0,2810.0,7.2,6.0,8.0,21.2,385.9632,6.000000359999999,10.50240261298533,402.4656029729853,381.2656029729853,7.3701901721228795,0.13568170924305528,0.9952054794520548,5.513759999999999,459.4799999999999,137.58602620087333,42,0.4794520547945206,0.7933933236993549,-0.05932554540781196,53.77006733159602,688.9464411773934,695.1555131943686,26.06329497571447
0,2,1100.0,1680.0,720.0,308.00000000000006,130.0,2838.0,7.2,6.0,8.8,22.0,385.9632,6.000000359999999,11.447828683565687,403.41102904356563,381.41102904356563,7.44079164967156,0.13439430198857139,0.9955479452054794,5.513759999999999,459.4799999999999,137.58602620087333,39,0.4452054794520548,0.7106829190429609,-0.05314092080791959,45.34936648429152,684.6599797640852,690.9085633557158,25.904065128161037
0,2,1200.0,1680.0,720.0,336.00000000000006,130.0,2866.0,7.2,6.0,9.6,22.8,385.9632,6.000000359999999,12.261662047452015,404.22486240745195,381.42486240745194,7.513930743556077,0.13308613482465176,0.9962328767123287,5.513759999999999,459.4799999999999,137.58602620087333,33,0.3767123287671233,0.5661298510860654,-0.04233204538541229,38.13503287088355,681.1416462524983,687.038010185938,25.75894742849762
0,2,1300.0,1680.0,720.0,364.00000000000006,130.0,2894.0,7.2,6.0,10.4,23.6,385.9632,6.000000359999999,12.942264431368226,404.90546479136816,381.3054647913682,7.589715509541559,0.13175724422645757,0.9968036529680365,5.513759999999999,459.4799999999999,137.58602620087333,28,0.31963470319634707,0.48384902618208603,-0.03617954237306911,32.159465144965026,678.4879029795542,683.6039049080597,25.630193362484803
0,2,1400.0,1680.0,720.0,392.00000000000006,130.0,2922.0,7.2,6.0,11.2,24.4,385.9632,6.000000359999999,13.494210213693359,405.4574105736933,381.05741057369335,7.668135873806631,0.13040979143521333,0.9973744292237443,5.513759999999999,459.4799999999999,137.58602620087333,23,0.2625570776255708,0.3968862178321298,-0.029676946647281086,27.261618476087563,676.0765009281721,681.0004974822141,25.532584447078264
